array	sample	call status	purity	ploidy	Genome doublings	delta	Coverage for 80% power	Cancer DNA fraction	Subclonal genome fraction	tau	E_CR
PCM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	PCM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	2.01	0	0.5	8	1	0	1.87761057926434	1.06978282264319
K029AX_SKIN	K029AX_SKIN	called	1	1.93	0	0.52	7	1	0.04	1.7332530178674	1.1042882784119
GP2D_LARGE_INTESTINE	GP2D_LARGE_INTESTINE	called	1	2	0	0.5	8	1	0	2.07508060767412	0.966794905866946
CW2_LARGE_INTESTINE	CW2_LARGE_INTESTINE	called	0.99	2	0	0.49	8	0.99	0	1.99361518039577	1.01270183244239
SNUC2A_LARGE_INTESTINE	SNUC2A_LARGE_INTESTINE	called	1	1.98	0	0.51	8	1	0	1.93479233440203	1.01871159943245
RT112_URINARY_TRACT	RT112_URINARY_TRACT	called	1	2.04	0	0.49	8	1	0.12	1.93479233440203	1.06827955374756
OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	3.35	1	0.3	14	1	0.08	3.32011692273655	1.00643138091085
SKNSH_AUTONOMIC_GANGLIA	SKNSH_AUTONOMIC_GANGLIA	called	0.99	2.08	0	0.48	8	0.99	0	2.24779483915708	0.930576650496053
HT1080_SOFT_TISSUE	HT1080_SOFT_TISSUE	called	0.98	2.04	0	0.48	8	0.98	0	2.09551069608688	0.975990902219799
KPNRTBM1_AUTONOMIC_GANGLIA	KPNRTBM1_AUTONOMIC_GANGLIA	called	1	1.99	0	0.5	8	1	0	1.95423732063594	1.02103346038732
CL40_LARGE_INTESTINE	CL40_LARGE_INTESTINE	called	1	2.08	0	0.48	8	1	0	2.01375270747048	1.02985166957386
LS513_LARGE_INTESTINE	LS513_LARGE_INTESTINE	called	1	2.28	0	0.44	9	1	0	2.29331874026418	0.995567750877509
MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	2.03	0	0.49	8	1	0	1.93479233440203	1.05378736024044
EN_ENDOMETRIUM	EN_ENDOMETRIUM	called	0.99	2.02	0	0.49	8	0.99	0.09	1.93469494742958	1.00512763616031
ESS1_ENDOMETRIUM	ESS1_ENDOMETRIUM	called	0.9	2.03	0	0.44	9	0.9	0.04	2.04344985377916	0.985944183352795
KYM1_SOFT_TISSUE	KYM1_SOFT_TISSUE	called	1	2.03	0	0.49	8	1	0	2.09593551449436	0.966521582329634
CL11_LARGE_INTESTINE	CL11_LARGE_INTESTINE	called	1	2.02	0	0.5	8	1	0.02	1.85892804184634	1.0851443265763
SNU81_LARGE_INTESTINE	SNU81_LARGE_INTESTINE	called	0.99	2	0	0.49	8	0.99	0.07	1.99361518039577	1.02290669519935
MFE319_ENDOMETRIUM	MFE319_ENDOMETRIUM	called	0.99	2	0	0.5	8	0.99	0	1.78594853124388	1.11080219841929
RCHACV_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	RCHACV_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	0.99	2.09	0	0.47	8	0.99	0.04	2.15965754284322	0.964554813226359
G402_SOFT_TISSUE	G402_SOFT_TISSUE	called	0.99	2.09	0	0.47	8	0.99	0	1.99361518039577	1.04149908527171
SEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	1.95	0	0.51	8	1	0	1.87761057926434	1.03871965828073
MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	2.03	0	0.49	8	1	0.02	2.01375270747048	1.00605842774709
G401_SOFT_TISSUE	G401_SOFT_TISSUE	called	0.99	2	0	0.5	8	0.99	0	1.91544441105801	1.04565311504833
HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	1.99	0	0.5	8	1	0	1.82211880039051	1.09454889817832
SNU1040_LARGE_INTESTINE	SNU1040_LARGE_INTESTINE	called	1	2.02	0	0.49	8	1	0.04	1.95423732063594	1.03508780074684
MHHCALL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MHHCALL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	1.99	0	0.5	8	1	0	1.84043139878164	1.08429133281549
SKUT1_SOFT_TISSUE	SKUT1_SOFT_TISSUE	called	1	1.97	0	0.51	8	1	0	1.97387773223045	0.997200429636355
EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	1.93	0	0.52	7	1	0.48	1.68202764969889	1.09983000706023
KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	2.06	0	0.48	8	1	0.03	1.99371553324308	1.03415726481443
HEC108_ENDOMETRIUM	HEC108_ENDOMETRIUM	called	0.99	1.67	0	0.59	6	0.99	0.22	1.8775160705119	0.989607110004343
GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	2.07	0	0.48	8	1	0	2.03399125864675	1.02165837269616
SH4_SKIN	SH4_SKIN	called	1	2.39	1	0.42	9	1	0.04	2.5092903899363	0.960488294253351
CORL24_LUNG	CORL24_LUNG	called	1	1.78	0	0.56	7	1	0.02	1.9155408290139	0.939724387426616
KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	2.24	0	0.45	9	1	0	2.09593551449436	1.06948406270538
THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	2.13	0	0.47	8	1	0.01	1.99371553324308	1.06471270830767
SW48_LARGE_INTESTINE	SW48_LARGE_INTESTINE	called	0.99	2.09	0	0.47	8	0.99	0	2.11689345829185	0.988053486106023
A2058_SKIN	A2058_SKIN	called	1	2.21	0	0.45	9	1	0.11	2.05443321064389	1.05932720099954
JHUEM2_ENDOMETRIUM	JHUEM2_ENDOMETRIUM	called	0.93	2.18	0	0.43	9	0.93	0.01	2.11156484890514	1.02930017763772
AM38_CENTRAL_NERVOUS_SYSTEM	AM38_CENTRAL_NERVOUS_SYSTEM	called	1	1.9	0	0.53	7	1	0.43	1.7506725002961	0.984076942570261
CAL33_UPPER_AERODIGESTIVE_TRACT	CAL33_UPPER_AERODIGESTIVE_TRACT	called	0.99	2.13	0	0.47	8	0.99	0.02	1.93469494742958	1.09932325985492
CORL47_LUNG	CORL47_LUNG	called	0.99	1.95	0	0.51	8	0.99	0	1.91544441105801	1.01707114070044
NCIH2052_PLEURA	NCIH2052_PLEURA	called	1	4.67	2	0.21	19	1	0.22	4.48168907033807	1.04835484559899
ME1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ME1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	2.08	0	0.48	8	1	0	1.93479233440203	1.07658832191093
SNUC4_LARGE_INTESTINE	SNUC4_LARGE_INTESTINE	called	1	1.99	0	0.5	8	1	0.01	1.89648087930495	1.0592964900732
SW837_LARGE_INTESTINE	SW837_LARGE_INTESTINE	called	1	1.89	0	0.53	7	1	0.04	1.87761057926434	1.00485865571024
SNU1_STOMACH	SNU1_STOMACH	called	1	2.01	0	0.5	8	1	0.01	1.93479233440203	1.04113122166509
NALM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NALM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	1.97	0	0.51	8	1	0.03	2.13827622049682	0.929801776063876
MHHES1_BONE	MHHES1_BONE	called	0.99	2.24	0	0.44	9	0.99	0.06	1.99361518039577	1.11822004025824
NALM19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NALM19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	0.98	2.05	0	0.48	8	0.98	0	1.95384122257822	1.04913998390079
TT2609C02_THYROID	TT2609C02_THYROID	called	0.98	3.31	1	0.3	14	0.99	0.25	3.25421039530929	1.01464096712278
NCIH1048_LUNG	NCIH1048_LUNG	called	0.99	2.03	0	0.49	8	0.99	0.02	2.33952908676874	0.869190898283636
ML1_THYROID	ML1_THYROID	called	1	1.71	0	0.59	6	1	0.2	1.56831218549017	1.06185546232796
MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	0.98	2.03	0	0.48	8	0.98	0.02	2.03357899552064	0.9952025382693
HUPT3_PANCREAS	HUPT3_PANCREAS	called	1	1.87	0	0.53	7	1	0.03	1.76826705143374	1.0650002138051
22RV1_PROSTATE	22RV1_PROSTATE	called	0.99	2.13	0	0.46	8	0.99	0.01	2.11689345829185	1.00910961823107
CAL148_BREAST	CAL148_BREAST	called	1	2.09	0	0.48	8	1	0.02	2.05443321064389	1.01629172523151
A204_SOFT_TISSUE	A204_SOFT_TISSUE	called	1	2	0	0.5	8	1	0	1.95423732063594	1.01882094990194
SW403_LARGE_INTESTINE	SW403_LARGE_INTESTINE	called	1	3.04	1	0.33	12	1	0.02	2.97427407256307	1.02226571588992
SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	2.02	0	0.49	8	1	0.07	1.93479233440203	1.04102545308019
U266B1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	U266B1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	2.04	0	0.49	8	1	0.03	1.84043139878164	1.09969701705693
SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	2.19	0	0.46	9	1	0	2.07508060767412	1.05212033551423
CALU1_LUNG	CALU1_LUNG	called	1	2.84	1	0.35	11	1	0.27	2.80106583469908	1.0261708550902
SNU1105_CENTRAL_NERVOUS_SYSTEM	SNU1105_CENTRAL_NERVOUS_SYSTEM	called	1	2	0	0.5	8	1	0.22	1.95423732063594	0.967461367819538
ACHN_KIDNEY	ACHN_KIDNEY	called	1	1.22	0	0.82	4	1	0.16	1.13882838332462	1.07195314364469
SCLC21H_LUNG	SCLC21H_LUNG	called	0.99	1.89	0	0.52	7	0.99	0.09	1.8038976123866	1.04412018485722
MHHNB11_AUTONOMIC_GANGLIA	MHHNB11_AUTONOMIC_GANGLIA	called	1	2.16	0	0.46	8	1	0.29	2.1814722654982	1.00108505574812
A375_SKIN	A375_SKIN	called	0.99	2.76	1	0.36	11	0.99	0.06	2.77305517635209	0.992633427539526
C2BBE1_LARGE_INTESTINE	C2BBE1_LARGE_INTESTINE	NULL	1	1.38	0	0.72	5	1	0.72	1.28402541668774	1.07906865510037
KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	1.88	0	0.53	7	1	0.11	1.85892804184634	0.997661230823717
BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	0.93	2.05	0	0.45	9	0.93	0.01	2.00858261601997	1.01568455715234
OCILY10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCILY10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	2.07	0	0.48	8	1	0.01	1.99371553324308	1.03178607385996
T3M4_PANCREAS	T3M4_PANCREAS	called	1	2.73	1	0.37	11	1	0.14	2.45960311115695	1.11099066349697
RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	0.99	2.02	0	0.49	8	0.99	0.03	1.8775160705119	1.07595259224677
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	2.1	0	0.48	8	1	0.01	1.9155408290139	1.09571794265134
P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	2.05	0	0.49	8	1	0	2.03399125864675	0.998410346383934
NCIH2286_LUNG	NCIH2286_LUNG	called	0.99	1.86	0	0.53	7	0.99	0.07	1.78594853124388	1.04671315648312
SNU668_STOMACH	SNU668_STOMACH	called	1	1.5	0	0.67	6	1	0.17	1.32312981233744	1.0776990336722
PK45H_PANCREAS	PK45H_PANCREAS	called	1	2.25	1	0.45	9	1	0.35	2.20339642625594	0.988142347848017
OVK18_OVARY	OVK18_OVARY	called	0.97	2.09	0	0.47	8	0.97	0	2.03305744905953	1.0325036824201
SNU520_STOMACH	SNU520_STOMACH	called	0.98	2.29	0	0.43	9	0.98	0.01	2.13784282018824	1.07800984715436
SKNMC_BONE	SKNMC_BONE	called	1	2.01	0	0.5	8	1	0.04	1.95423732063594	1.02923082733113
KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	1.97	0	0.51	8	1	0.06	1.95423732063594	1.0313402055566
2313287_STOMACH	2313287_STOMACH	called	1	2.09	0	0.48	8	1	0.03	2.20339642625594	0.950816977876302
NH6_AUTONOMIC_GANGLIA	NH6_AUTONOMIC_GANGLIA	called	1	2.02	0	0.5	8	1	0.02	2.05443321064389	0.976563964776709
JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	2.07	0	0.48	8	1	0.12	1.95423732063594	1.03813966797479
SKMEL5_SKIN	SKMEL5_SKIN	called	0.99	2.81	1	0.35	11	0.99	0.69	2.74546281632465	1.03525997110941
A172_CENTRAL_NERVOUS_SYSTEM	A172_CENTRAL_NERVOUS_SYSTEM	called	1	1.97	0	0.51	8	1	0.3	1.61607440219289	1.10310548667371
OCILY19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCILY19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	2.04	0	0.49	8	1	0	2.09593551449436	0.970982605741145
KP2_PANCREAS	KP2_PANCREAS	called	1	1.68	0	0.6	6	1	0.55	1.55270721851134	0.99681826652538
JHUEM1_ENDOMETRIUM	JHUEM1_ENDOMETRIUM	called	0.99	2	0	0.5	8	0.99	0.06	1.95413895490814	1.02263833983975
HCT15_LARGE_INTESTINE	HCT15_LARGE_INTESTINE	called	0.99	2	0	0.49	8	0.99	0	2.15965754284322	0.922039446070452
CAL51_BREAST	CAL51_BREAST	called	1	2	0	0.5	8	1	0	2.01375270747048	0.992650905396432
DAUDI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	DAUDI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	2	0	0.5	8	1	0	2.01375270747048	0.990662881089821
VMRCRCW_KIDNEY	VMRCRCW_KIDNEY	called	1	2.19	0	0.46	9	1	0.02	2.11700001661267	1.03376153324348
A2780_OVARY	A2780_OVARY	called	1	2.01	0	0.5	8	1	0	2.07508060767412	0.96576117612598
CAMA1_BREAST	CAMA1_BREAST	called	1	1.96	0	0.51	8	1	0.17	1.71600686218486	1.09294687802777
SNU626_CENTRAL_NERVOUS_SYSTEM	SNU626_CENTRAL_NERVOUS_SYSTEM	called	0.98	3.35	1	0.3	14	0.99	0.11	3.09550068153429	1.08261041897846
IMR32_AUTONOMIC_GANGLIA	IMR32_AUTONOMIC_GANGLIA	called	0.99	2.21	0	0.45	9	0.99	0.07	2.13816859124707	1.04101807967283
MSTO211H_PLEURA	MSTO211H_PLEURA	called	1	1.93	0	0.52	7	1	0.31	1.68202764969889	1.0590852489839
KPNYN_AUTONOMIC_GANGLIA	KPNYN_AUTONOMIC_GANGLIA	called	1	1.97	0	0.51	8	1	0.01	1.9155408290139	1.0300841550599
TGBC11TKB_STOMACH	TGBC11TKB_STOMACH	called	1	2.05	0	0.49	8	1	0.04	1.95423732063594	1.0555007558139
SHSY5Y_AUTONOMIC_GANGLIA	SHSY5Y_AUTONOMIC_GANGLIA	called	0.99	2.12	0	0.47	8	0.99	0.02	2.03388887853745	1.04571382982349
HLF_LIVER	HLF_LIVER	called	1	2.7	1	0.37	11	1	0.16	2.45960311115695	1.11911651941111
SKNAS_AUTONOMIC_GANGLIA	SKNAS_AUTONOMIC_GANGLIA	called	0.99	2.03	0	0.49	8	0.99	0.01	1.93469494742958	1.05026400086142
MOTN1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOTN1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	0.99	2	0	0.5	8	0.99	0.04	1.89638542072376	1.05229240617063
SNU478_BILIARY_TRACT	SNU478_BILIARY_TRACT	called	0.99	2.89	1	0.34	12	0.99	0.2	2.61156501476061	1.06890836812135
RL952_ENDOMETRIUM	RL952_ENDOMETRIUM	called	1	2.05	0	0.49	8	1	0.02	2.11700001661267	0.966229861745969
KASUMI2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KASUMI2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	2.01	0	0.5	8	1	0.01	1.99371553324308	1.01365576166303
J82_URINARY_TRACT	J82_URINARY_TRACT	NULL	1	1.95	0	0.51	8	1	0.75	1.58407398499448	1.05855599406004
SNU466_CENTRAL_NERVOUS_SYSTEM	SNU466_CENTRAL_NERVOUS_SYSTEM	called	1	2.1	0	0.48	8	1	0.14	1.85892804184634	1.07545210582352
MM1S_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MM1S_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	1.97	0	0.51	8	1	0.01	1.82211880039051	1.08016947593387
KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	2.02	0	0.49	8	1	0.05	1.85892804184634	1.0944834085554
SW1710_URINARY_TRACT	SW1710_URINARY_TRACT	called	1	1.9	0	0.53	7	1	0.44	1.63231621995538	1.0653480319081
WM88_SKIN	WM88_SKIN	called	1	2.32	0	0.43	9	1	0.54	2.03399125864675	1.06786041866212
L540_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	L540_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	2.95	1	0.34	12	1	0.08	2.85765111806316	1.02899883855075
KELLY_AUTONOMIC_GANGLIA	KELLY_AUTONOMIC_GANGLIA	called	0.99	2.08	0	0.47	8	0.99	0.04	2.22542890680971	0.937904905289374
OVTOKO_OVARY	OVTOKO_OVARY	called	0.98	3.43	1	0.29	14	0.99	0.21	3.18977271214321	1.07086611544076
SW1116_LARGE_INTESTINE	SW1116_LARGE_INTESTINE	called	0.97	2.76	1	0.35	11	0.98	0.02	2.61116711709083	1.05564986475937
WM793_SKIN	WM793_SKIN	called	0.92	2.34	0	0.4	10	0.93	0.21	2.33364006264076	1.02105022060885
JL1_PLEURA	JL1_PLEURA	called	1	2.04	0	0.49	8	1	0.07	1.95423732063594	1.04418430804058
NMCG1_CENTRAL_NERVOUS_SYSTEM	NMCG1_CENTRAL_NERVOUS_SYSTEM	called	1	2.23	1	0.45	9	1	0.04	2.1814722654982	1.02218756600266
SKES1_BONE	SKES1_BONE	called	1	2.27	0	0.44	9	1	0.06	2.15976625378492	1.05758276042059
RMGI_OVARY	RMGI_OVARY	called	0.99	2.18	0	0.45	9	0.99	0.04	1.99361518039577	1.08741112209904
HEYA8_OVARY	HEYA8_OVARY	called	1	2.03	0	0.49	8	1	0.29	1.87761057926434	1.01556945166487
NCIH1944_LUNG	NCIH1944_LUNG	called	1	2.19	0	0.46	9	1	0.09	2.20339642625594	0.988001452297179
NCIH508_LARGE_INTESTINE	NCIH508_LARGE_INTESTINE	called	0.99	2.31	0	0.43	9	0.99	0.46	2.13816859124707	1.06998323223591
HCC1171_LUNG	HCC1171_LUNG	called	1	2.55	1	0.39	10	1	0.43	2.41089970641721	1.07901987921643
OE33_OESOPHAGUS	OE33_OESOPHAGUS	called	1	2.54	1	0.39	10	1	0.55	2.33964685192599	1.12780285316835
KE97_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KE97_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	2.1	0	0.48	8	1	0.02	1.99371553324308	1.05038652436055
HSC3_UPPER_AERODIGESTIVE_TRACT	HSC3_UPPER_AERODIGESTIVE_TRACT	called	1	2.74	1	0.36	11	1	0.15	2.61169647342312	1.03957856736312
CORL88_LUNG	CORL88_LUNG	called	1	1.92	0	0.52	7	1	0.28	1.80398841539786	0.997308106822093
NUGC3_STOMACH	NUGC3_STOMACH	called	1	2.45	1	0.41	10	1	0.23	2.33964685192599	1.03655487529987
KNS62_LUNG	KNS62_LUNG	called	1	2.62	1	0.38	10	1	0.02	2.69123447234926	0.978323161524746
ECC10_STOMACH	ECC10_STOMACH	called	1	3.78	2	0.26	15	1	0.07	3.63278655575281	1.04063891129676
JHH6_LIVER	JHH6_LIVER	called	1	1.72	0	0.58	7	1	0.31	1.53725752354828	1.03889315608484
KYSE150_OESOPHAGUS	KYSE150_OESOPHAGUS	called	0.98	3.14	1	0.31	13	0.99	0.11	3.03420566126007	1.02645915581571
MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	0.98	2.02	0	0.49	8	0.98	0.06	1.84005836767906	1.08883002981478
CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	0.98	1.99	0	0.49	8	0.98	0.02	1.75031766213507	1.12360760799295
SNUC5_LARGE_INTESTINE	SNUC5_LARGE_INTESTINE	called	1	2.05	0	0.49	8	1	0.07	2.11700001661267	0.981332213340957
COLO818_SKIN	COLO818_SKIN	called	1	2.72	1	0.37	11	1	0.29	2.41089970641721	1.08890762337185
RI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	RI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	2.16	0	0.46	8	1	0.01	2.24790798667647	0.962207757841273
DU4475_BREAST	DU4475_BREAST	called	1	2.02	0	0.5	8	1	0.1	2.13827622049682	0.943869965275745
KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	1.96	0	0.51	8	1	0.01	1.78603843075007	1.09424074379046
MORCPR_LUNG	MORCPR_LUNG	called	1	1.16	0	0.86	4	1	0.34	1.18530485132037	1.03329846913169
HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	2.04	0	0.49	8	1	0.01	2.05443321064389	0.993015390403655
MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	2.09	0	0.48	8	1	0.02	2.1814722654982	0.960955146960804
NCIH2228_LUNG	NCIH2228_LUNG	called	1	3.92	1	0.26	16	1	0.29	3.35348465254902	1.13822588892324
HPBALL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HPBALL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	1.94	0	0.51	8	1	0.01	1.87761057926434	1.03491386298365
PFEIFFER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	PFEIFFER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	2.13	0	0.47	8	1	0.05	1.97387773223045	1.09007634965323
NCIN87_STOMACH	NCIN87_STOMACH	called	1	1.86	0	0.54	7	1	0.01	1.9155408290139	0.973918660086141
