array	sample	call status	purity	ploidy	Genome doublings	delta	Coverage for 80% power	Cancer DNA fraction	Subclonal genome fraction	tau	E_CR
NALM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NALM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	1.97	0	0.51	8	1	0.03	2.13827622049682	0.929801776063876
NH6_AUTONOMIC_GANGLIA	NH6_AUTONOMIC_GANGLIA	called	1	2.02	0	0.5	8	1	0.02	2.05443321064389	0.976563964776709
MHHES1_BONE	MHHES1_BONE	called	0.99	2.24	0	0.44	9	0.99	0.06	1.99361518039577	1.11822004025824
NALM19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NALM19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	0.98	2.05	0	0.48	8	0.98	0	1.95384122257822	1.04913998390079
A2780_OVARY	A2780_OVARY	called	1	2.01	0	0.5	8	1	0	2.07508060767412	0.96576117612598
ML1_THYROID	ML1_THYROID	high non-clonal	1	1.71	0	0.59	6	1	0.2	1.56831218549017	1.06185546232796
HUPT3_PANCREAS	HUPT3_PANCREAS	called	1	1.87	0	0.53	7	1	0.03	1.76826705143374	1.0650002138051
SNUC2A_LARGE_INTESTINE	SNUC2A_LARGE_INTESTINE	called	1	1.98	0	0.51	8	1	0	1.93479233440203	1.01871159943245
SW403_LARGE_INTESTINE	SW403_LARGE_INTESTINE	called	1	3.04	1	0.33	12	1	0.02	2.97427407256307	1.02226571588992
U266B1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	U266B1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	2.04	0	0.49	8	1	0.03	1.84043139878164	1.09969701705693
CALU1_LUNG	CALU1_LUNG	high non-clonal	1	2.84	1	0.35	11	1	0.27	2.80106583469908	1.0261708550902
SNU1105_CENTRAL_NERVOUS_SYSTEM	SNU1105_CENTRAL_NERVOUS_SYSTEM	high non-clonal	1	2	0	0.5	8	1	0.22	1.95423732063594	0.967461367819538
ACHN_KIDNEY	ACHN_KIDNEY	called	1	2.46	1	0.41	10	1	0.13	2.27049983753241	1.07195314364469
A549_LUNG	A549_LUNG	high non-clonal	1	2.85	1	0.35	11	1	0.08	2.71828182845905	1.04891369388528
MELHO_SKIN	MELHO_SKIN	high non-clonal	1	6.44	2	0.16	33	1	0.16	5.98945246638311	1.08295777464111
A375_SKIN	A375_SKIN	called	0.99	2.76	1	0.36	11	0.99	0.06	2.77305517635209	0.992633427539526
KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	1.88	0	0.53	7	1	0.11	1.85892804184634	0.997661230823717
SW480_LARGE_INTESTINE	SW480_LARGE_INTESTINE	high non-clonal	0.99	2.56	1	0.39	10	0.99	0.14	2.38679070935304	1.05823433018155
OCILY10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCILY10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	2.07	0	0.48	8	1	0.01	1.99371553324308	1.03178607385996
T3M4_PANCREAS	T3M4_PANCREAS	high non-clonal	1	2.73	1	0.37	11	1	0.14	2.45960311115695	1.11099066349697
MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	2.07	0	0.48	8	1	0.02	2.03399125864675	1.01641689117399
RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	0.99	2.02	0	0.49	8	0.99	0.03	1.8775160705119	1.07595259224677
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	2.1	0	0.48	8	1	0.01	1.9155408290139	1.09571794265134
P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	2.05	0	0.49	8	1	0	2.03399125864675	0.998410346383934
NCIH2286_LUNG	NCIH2286_LUNG	called	0.99	1.86	0	0.53	7	0.99	0.07	1.78594853124388	1.04671315648312
EFM19_BREAST	EFM19_BREAST	high non-clonal	1	2.93	1	0.34	12	1	0.25	2.7731947639643	1.03437485048594
SCLC21H_LUNG	SCLC21H_LUNG	called	0.99	1.89	0	0.52	7	0.99	0.09	1.8038976123866	1.04412018485722
JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	0.65	4.06	1	0.19	21	0.79	0.17	3.86336529102819	1.03813966797479
VMRCRCW_KIDNEY	VMRCRCW_KIDNEY	called	1	2.19	0	0.46	9	1	0.02	2.11700001661267	1.03376153324348
MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	2.03	0	0.49	8	1	0	1.93479233440203	1.05378736024044
SNU626_CENTRAL_NERVOUS_SYSTEM	SNU626_CENTRAL_NERVOUS_SYSTEM	high non-clonal	0.98	3.35	1	0.3	14	0.99	0.11	3.09550068153429	1.08261041897846
MSTO211H_PLEURA	MSTO211H_PLEURA	called	1	3.57	1	0.28	15	1	0.02	3.35348465254902	1.0590852489839
NCIH508_LARGE_INTESTINE	NCIH508_LARGE_INTESTINE	high non-clonal	1	4.61	2	0.22	19	1	0.28	4.30595952834521	1.06998323223591
KG1C_CENTRAL_NERVOUS_SYSTEM	KG1C_CENTRAL_NERVOUS_SYSTEM	high non-clonal	0.99	1.28	0	0.76	5	0.98	0.35	1.41877992237006	0.932473767131391
SUIT2_PANCREAS	SUIT2_PANCREAS	called	1	3.8	1	0.26	16	1	0.03	3.63278655575281	1.04027397137394
HLF_LIVER	HLF_LIVER	called	1	2.7	1	0.37	11	1	0.16	2.45960311115695	1.11911651941111
SKNAS_AUTONOMIC_GANGLIA	SKNAS_AUTONOMIC_GANGLIA	called	0.99	2.03	0	0.49	8	0.99	0.01	1.93469494742958	1.05026400086142
KASUMI2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KASUMI2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	2.01	0	0.5	8	1	0.01	1.99371553324308	1.01365576166303
MM1S_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MM1S_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	1.97	0	0.51	8	1	0.01	1.82211880039051	1.08016947593387
KELLY_AUTONOMIC_GANGLIA	KELLY_AUTONOMIC_GANGLIA	called	0.99	2.08	0	0.47	8	0.99	0.04	2.22542890680971	0.937904905289374
SKNMC_BONE	SKNMC_BONE	called	1	2.01	0	0.5	8	1	0.04	1.95423732063594	1.02923082733113
WM793_SKIN	WM793_SKIN	called	0.99	2.34	0	0.42	9	0.99	0.11	2.29320330701328	1.02105022060885
NMCG1_CENTRAL_NERVOUS_SYSTEM	NMCG1_CENTRAL_NERVOUS_SYSTEM	called	1	2.23	1	0.45	9	1	0.04	2.1814722654982	1.02218756600266
SKES1_BONE	SKES1_BONE	called	1	2.27	0	0.44	9	1	0.06	2.15976625378492	1.05758276042059
RMGI_OVARY	RMGI_OVARY	called	0.99	2.18	0	0.45	9	0.99	0.04	1.99361518039577	1.08741112209904
HEYA8_OVARY	HEYA8_OVARY	high non-clonal	1	3.8	1	0.26	16	1	0.25	3.74342137726086	1.01556945166487
SEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	1.95	0	0.51	8	1	0	1.87761057926434	1.03871965828073
ISTMES1_PLEURA	ISTMES1_PLEURA	high non-clonal	1	3.31	1	0.3	13	1	0.09	3.42122953628967	0.972986050158586
NUGC3_STOMACH	NUGC3_STOMACH	high non-clonal	1	2.45	1	0.41	10	1	0.23	2.33964685192599	1.03655487529987
KNS62_LUNG	KNS62_LUNG	called	1	2.62	1	0.38	10	1	0.02	2.69123447234926	0.978323161524746
MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	0.98	2.02	0	0.49	8	0.98	0.06	1.84005836767906	1.08883002981478
HPAC_PANCREAS	HPAC_PANCREAS	high non-clonal	1	2.88	1	0.35	12	1	0.13	2.53450917761785	1.11883948831258
HUH28_BILIARY_TRACT	HUH28_BILIARY_TRACT	high non-clonal	0.99	2.42	1	0.41	10	0.99	0.2	2.38679070935304	1.00729983238912
HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	2.04	0	0.49	8	1	0.01	2.05443321064389	0.993015390403655
NCIH2228_LUNG	NCIH2228_LUNG	high non-clonal	1	3.92	1	0.26	16	1	0.29	3.35348465254902	1.13822588892324
LI7_LIVER	LI7_LIVER	high non-clonal	1	2.8	1	0.36	11	1	0.26	2.61169647342312	1.06572358441429
PFEIFFER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	PFEIFFER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	2.13	0	0.47	8	1	0.05	1.97387773223045	1.09007634965323
NCIN87_STOMACH	NCIN87_STOMACH	called	1	1.86	0	0.54	7	1	0.01	1.9155408290139	0.973918660086141
MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	0.99	1.04	0	0.94	3	0.98	0.03	1.17327301585937	0.888719234099914
CAL62_THYROID	CAL62_THYROID	high non-clonal	0.99	3	1	0.33	12	0.99	0.33	2.97412436370697	1.02798780760505
KMRC2_KIDNEY	KMRC2_KIDNEY	high non-clonal	1	1.89	0	0.53	7	1	0.28	1.61607440219289	1.10243581999058
PEER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	PEER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	1.99	0	0.5	8	1	0.03	1.93479233440203	1.02792469745441
SNU308_BILIARY_TRACT	SNU308_BILIARY_TRACT	high non-clonal	0.99	3.12	1	0.32	13	0.99	0.15	2.91523275555487	1.08709226009092
KALS1_CENTRAL_NERVOUS_SYSTEM	KALS1_CENTRAL_NERVOUS_SYSTEM	high non-clonal	0.98	3.08	1	0.32	13	0.99	0.32	3.15803394335502	0.98885115708762
SNU213_PANCREAS	SNU213_PANCREAS	high non-clonal	0.99	3.01	1	0.33	12	0.99	0.05	2.88622570497723	1.0438104195325
NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	high non-clonal	1	1.18	0	0.85	4	1	0.24	1.15027379885723	1.01091764492347
GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	0.99	1.92	0	0.52	7	0.99	0.01	1.82202708479382	1.04491743582633
OVCAR4_OVARY	OVCAR4_OVARY	high non-clonal	1	2.99	1	0.33	12	1	0.22	2.85765111806316	1.05435290761414
HDLM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HDLM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	1.99	0	0.5	8	1	0.07	1.84043139878164	1.08945929000912
786O_KIDNEY	786O_KIDNEY	called	1	3.71	1	0.27	15	1	0.18	3.52542148736538	1.03534637268894
BCPAP_THYROID	BCPAP_THYROID	high non-clonal	0.98	3.2	1	0.31	13	0.99	0.09	3.03420566126007	1.04577874664215
KYSE150_OESOPHAGUS	KYSE150_OESOPHAGUS	called	0.98	3.14	1	0.31	13	0.99	0.11	3.03420566126007	1.02645915581571
SNU349_KIDNEY	SNU349_KIDNEY	high non-clonal	1	3.31	1	0.3	13	1	0.05	3.064854203293	1.07581681112064
HOS_BONE	HOS_BONE	called	0.99	2.26	1	0.44	9	0.99	0.15	2.01365134606028	1.10693620864476
HEC50B_ENDOMETRIUM	HEC50B_ENDOMETRIUM	called	1	2.32	1	0.43	9	1	0.04	2.33964685192599	0.989355999114717
SNU620_STOMACH	SNU620_STOMACH	called	0.98	3.27	1	0.3	13	0.99	0.14	3.03420566126007	1.09080835093758
WM115_SKIN	WM115_SKIN	called	1	2.03	0	0.49	8	1	0.09	1.85892804184634	1.0941882335875
CAMA1_BREAST	CAMA1_BREAST	called	1	3.74	1	0.27	15	1	0.07	3.42122953628967	1.09294687802777
NCIH358_LUNG	NCIH358_LUNG	high non-clonal	0.98	3.46	1	0.29	14	0.99	0.13	3.45543952788722	1.00351358341113
S117_SOFT_TISSUE	S117_SOFT_TISSUE	high non-clonal	0.99	1.06	0	0.93	3	0.99	0.46	1.16177576228189	0.990676381568288
SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	high non-clonal	0.95	5.31	2	0.18	26	0.98	0.26	5.00179722416599	1.04989042008859
TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	0.99	2.33	0	0.42	9	0.99	0.1	2.33952908676874	0.981122720015961
ACCMESO1_PLEURA	ACCMESO1_PLEURA	high non-clonal	0.99	1.1	0	0.9	4	0.99	0.45	1.150215900301	0.957120468459571
NCIH1963_LUNG	NCIH1963_LUNG	called	1	2.05	0	0.49	8	1	0.07	2.05443321064389	0.996847592084908
DAOY_CENTRAL_NERVOUS_SYSTEM	DAOY_CENTRAL_NERVOUS_SYSTEM	high non-clonal	1	4.38	2	0.23	18	1	0.36	3.89619330179521	1.1268751738061
SNU761_LIVER	SNU761_LIVER	called	1	2.24	0	0.45	9	1	0.06	2.29331874026418	0.991030499074434
SNU478_BILIARY_TRACT	SNU478_BILIARY_TRACT	high non-clonal	0.99	2.89	1	0.34	12	0.99	0.2	2.61156501476061	1.06890836812135
SNU1197_LARGE_INTESTINE	SNU1197_LARGE_INTESTINE	high non-clonal	0.99	2.09	0	0.47	8	0.99	0.41	2.05432980159738	1.03756674111361
TYKNU_OVARY	TYKNU_OVARY	high non-clonal	1	2.5	1	0.4	10	1	0.15	2.27049983753241	1.10233228101634
OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	0.99	2.1	0	0.47	8	0.99	0.06	2.15965754284322	0.976887089952653
KMS20_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS20_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	1.86	0	0.54	7	1	0.1	1.7332530178674	1.10059221656861
MFE280_ENDOMETRIUM	MFE280_ENDOMETRIUM	called	1	2.54	1	0.39	10	1	0.15	2.48432253338482	1.00950436400792
SJSA1_BONE	SJSA1_BONE	high non-clonal	1	2.05	0	0.49	8	1	0.17	1.84043139878164	1.07846022359646
HCC15_LUNG	HCC15_LUNG	called	0.99	1.73	0	0.57	7	0.99	0.03	1.8588344734717	0.928039302066808
A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	2.05	0	0.49	8	1	0.05	1.99371553324308	1.04238331314002
RPMI7951_SKIN	RPMI7951_SKIN	called	1	4.85	2	0.21	20	1	0.14	4.85495581123743	1.00410107869667
NCIH211_LUNG	NCIH211_LUNG	called	1	1.92	0	0.52	7	1	0.06	1.84043139878164	1.03350172297967
RMUGS_OVARY	RMUGS_OVARY	called	1	1.76	0	0.57	7	1	0.05	1.64872127070013	1.07439213671779
SNU886_LIVER	SNU886_LIVER	called	1	1.93	0	0.52	7	1	0.08	1.84043139878164	1.05271498894758
BT20_BREAST	BT20_BREAST	called	1	2.62	1	0.38	10	1	0.11	2.7731947639643	0.93727388112751
OUMS23_LARGE_INTESTINE	OUMS23_LARGE_INTESTINE	high non-clonal	1	2.85	1	0.35	11	1	0.32	2.63794445935415	1.06251231846167
MELJUSO_SKIN	MELJUSO_SKIN	called	1	2.23	0	0.45	9	1	0.12	2.07508060767412	1.05910055380346
HEC6_ENDOMETRIUM	HEC6_ENDOMETRIUM	called	0.98	3.58	1	0.28	15	0.99	0.07	3.49016727249173	1.03481893187643
LOUCY_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	LOUCY_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	1.96	0	0.51	8	1	0.03	1.89648087930495	1.02774581205411
MDAMB415_BREAST	MDAMB415_BREAST	high non-clonal	0.98	3.18	1	0.31	13	0.99	0.2	3.03420566126007	1.03702087891473
EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	2.01	0	0.5	8	1	0.02	1.97387773223045	1.02029165304989
NCIH1703_LUNG	NCIH1703_LUNG	called	1	2.44	1	0.41	10	1	0.12	2.36316069370579	1.01958996181922
SUDHL6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SUDHL6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	2.11	0	0.47	8	1	0.03	2.20339642625594	0.95972449646259
SKMEL2_SKIN	SKMEL2_SKIN	high non-clonal	1	2.18	0	0.46	9	1	0.18	1.9155408290139	1.10690877489659
THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	2.13	0	0.47	8	1	0.01	1.99371553324308	1.06471270830767
CADOES1_BONE	CADOES1_BONE	called	1	2.1	0	0.48	8	1	0	2.20339642625594	0.960164549048149
LOVO_LARGE_INTESTINE	LOVO_LARGE_INTESTINE	called	1	2.2	0	0.46	9	1	0.07	2.07508060767412	1.04850308053924
LU99_LUNG	LU99_LUNG	called	0.99	2.71	1	0.37	11	0.99	0.1	2.41077835477698	1.12160899069702
A172_CENTRAL_NERVOUS_SYSTEM	A172_CENTRAL_NERVOUS_SYSTEM	called	0.98	3.55	1	0.28	15	0.99	0.04	3.22183046086077	1.10310548667371
MCAS_OVARY	MCAS_OVARY	called	0.98	3.66	1	0.27	15	0.99	0.14	3.28691575350918	1.08712139511652
MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	2.03	0	0.49	8	1	0.02	2.01375270747048	1.00605842774709
NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	0.95	2.06	0	0.46	8	0.95	0.19	1.95171155011169	1.07185933244319
LU65_LUNG	LU65_LUNG	high non-clonal	1	2.35	1	0.43	9	1	0.21	2.22554092849247	1.03497708957355
C3A_LIVER	C3A_LIVER	called	1	2.29	0	0.44	9	1	0.07	2.13827622049682	1.07159217138324
NCIH1341_LUNG	NCIH1341_LUNG	high non-clonal	0.98	3.76	1	0.26	16	0.99	0.3	3.63260370094305	1.03630103670515
SNU475_LIVER	SNU475_LIVER	called	1	3.04	1	0.33	12	1	0.18	3.03435839443568	0.992588687210296
2313287_STOMACH	2313287_STOMACH	called	1	2.09	0	0.48	8	1	0.03	2.20339642625594	0.950816977876302
KPNSI9S_AUTONOMIC_GANGLIA	KPNSI9S_AUTONOMIC_GANGLIA	called	1	2.31	1	0.43	9	1	0.16	2.22554092849247	1.05439073564045
BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	2.08	0	0.48	8	1	0.09	1.97387773223045	1.04865213510579
C32_SKIN	C32_SKIN	called	1	2.11	0	0.48	8	1	0.05	1.87761057926434	1.12285501763532
COLO818_SKIN	COLO818_SKIN	high non-clonal	1	2.72	1	0.37	11	1	0.29	2.41089970641721	1.08890762337185
KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	high non-clonal	1	3.57	1	0.28	15	1	0.18	3.32011692273655	1.0805679964531
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM	CCFSTTG1_CENTRAL_NERVOUS_SYSTEM	called	1	2.01	0	0.5	8	1	0.03	2.05443321064389	0.978425170114464
OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	high non-clonal	1	3.04	1	0.33	12	1	0.16	3.064854203293	0.985230000024206
NCIH1944_LUNG	NCIH1944_LUNG	called	1	2.19	0	0.46	9	1	0.09	2.20339642625594	0.988001452297179
TUHR10TKB_KIDNEY	TUHR10TKB_KIDNEY	called	1	1.88	0	0.53	7	1	0.17	1.64872127070013	1.10190875980871
OVCAR8_OVARY	OVCAR8_OVARY	called	1	2.56	1	0.39	10	1	0.16	2.31636697678109	1.09789999686507
MOLM16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLM16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	0.98	3.38	1	0.29	14	0.99	0.18	3.35331585628512	1.00466232740902
8MGBA_CENTRAL_NERVOUS_SYSTEM	8MGBA_CENTRAL_NERVOUS_SYSTEM	high non-clonal	1	2.31	1	0.43	9	1	0.28	2.15976625378492	1.05384598732793
HUCCT1_BILIARY_TRACT	HUCCT1_BILIARY_TRACT	high non-clonal	0.98	3.28	1	0.3	13	0.99	0.26	3.85723136877726	0.861387887973794
CPCN_LUNG	CPCN_LUNG	called	1	2.11	0	0.47	8	1	0.06	1.97387773223045	1.06565462510873
DV90_LUNG	DV90_LUNG	called	0.99	2.06	0	0.48	8	0.99	0.04	2.15965754284322	0.95334653271194
BT474_BREAST	BT474_BREAST	high non-clonal	1	4.99	2	0.2	21	1	0.32	4.80664819377518	1.07927358463436
UMUC3_URINARY_TRACT	UMUC3_URINARY_TRACT	high non-clonal	0.98	3.61	2	0.27	15	0.99	0.22	3.6691119750881	0.972002788257876
COLO783_SKIN	COLO783_SKIN	high non-clonal	1	2.8	1	0.36	11	1	0.28	2.63794445935415	1.06603997204418
OV90_OVARY	OV90_OVARY	high non-clonal	1	1.93	0	0.52	7	1	0.26	1.9155408290139	0.965782462913927
SNU283_LARGE_INTESTINE	SNU283_LARGE_INTESTINE	high non-clonal	1	1.85	0	0.54	7	1	0.46	1.85892804184634	0.989742083940511
NCIH510_LUNG	NCIH510_LUNG	called	0.99	2.77	1	0.36	11	0.99	0.06	2.63781167951012	1.05782371919112
UACC812_BREAST	UACC812_BREAST	high non-clonal	0.99	2.78	1	0.36	11	0.99	0.17	2.63781167951012	1.04809536022133
COLO678_LARGE_INTESTINE	COLO678_LARGE_INTESTINE	called	1	2.38	1	0.42	9	1	0.08	2.1814722654982	1.08062031401439
SNU324_PANCREAS	SNU324_PANCREAS	called	1	2.06	0	0.49	8	1	0.14	1.89648087930495	1.09047050660232
MKN74_STOMACH	MKN74_STOMACH	called	1	2.3	1	0.44	9	1	0.07	2.07508060767412	1.0991386185037
JHOC5_OVARY	JHOC5_OVARY	called	1	2.82	1	0.35	11	1	0.14	2.74560101501692	1.03903233803366
SKMEL1_SKIN	SKMEL1_SKIN	called	0.98	3.61	1	0.27	15	0.99	0.09	3.35331585628512	1.07110929369719
SIMA_AUTONOMIC_GANGLIA	SIMA_AUTONOMIC_GANGLIA	called	1	1.99	0	0.5	8	1	0.08	1.87761057926434	1.06425011311321
RDES_BONE	RDES_BONE	called	0.99	3.04	1	0.33	12	0.99	0.1	2.91523275555487	1.03858875032398
LK2_LUNG	LK2_LUNG	high non-clonal	1	2.69	1	0.37	11	1	0.31	2.58570965931585	1.05851368234086
P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	called	1	2.1	0	0.48	8	1	0.06	1.87761057926434	1.10578120376331
